user_id,date,steps,sleep_min,workout_duration_min_tot,weight,calories_burned,calories_consumed,weight_ma_3,weight_ma_5,weight_ma_7,steps_ma_3,steps_ma_5,steps_ma_7,calories_consumed_ma_3,calories_consumed_ma_5,calories_consumed_ma_7,calories_burned_ma_3,calories_burned_ma_5,calories_burned_ma_7,sleep_min_ma_3,sleep_min_ma_5,sleep_min_ma_7,workout_duration_min_tot_ma_3,workout_duration_min_tot_ma_5,workout_duration_min_tot_ma_7,bmi,bmr,tdee,energy_balance,sleep_hours,workout_hours,etl_processed_at,etl_version
,20/08/2025,17466.0,446,110.0,73.2,2890.0,2815.0,73.13333333333334,73.32,73.5142857142857,13974.0,14185.0,12900.857142857143,2788.0,2814.0,2813.1666666666665,2995.0,2964.2,2861.4285714285716,451.6666666666667,425.0,423.7142857142857,124.66666666666667,119.2,100.57142857142857,21.387874360847334,1728.25,2678.7875,-75.0,7.433333333333334,1.8333333333333333,2025-10-30T12:58:29.948171,1.0.0
,21/08/2025,18252.0,394,172.0,72.8,3074.0,2831.0,73.0,73.16,73.37142857142858,15882.0,15054.2,14182.714285714286,2805.3333333333335,2798.75,2800.6666666666665,3035.3333333333335,2966.2,2909.8571428571427,443.6666666666667,448.8,421.2857142857143,137.0,127.8,116.85714285714286,21.271000730460187,1724.25,2672.5875,-243.0,6.566666666666666,2.8666666666666667,2025-10-30T12:58:29.948171,1.0.0
,22/08/2025,19287.0,441,171.0,73.0,3211.0,2855.0,73.0,73.04,73.2,18335.0,15892.2,15494.857142857143,2833.6666666666665,2810.0,2823.6666666666665,3058.3333333333335,3054.0,3015.1428571428573,427.0,438.0,422.85714285714283,151.0,143.4,134.14285714285714,21.32943754565376,1726.25,2675.6875,-356.0,7.35,2.85,2025-10-30T12:58:29.948171,1.0.0
,23/08/2025,18203.0,492,138.0,72.4,3442.0,3419.0,72.73333333333333,72.88,73.02857142857142,18580.666666666668,17027.2,16108.714285714286,3035.0,2938.0,2911.5,3242.3333333333335,3151.8,3069.1428571428573,442.3333333333333,452.8,453.85714285714283,160.33333333333334,144.0,135.42857142857142,21.154127100073044,1720.25,2666.3875000000003,-23.0,8.2,2.3,2025-10-30T12:58:29.948171,1.0.0
,24/08/2025,5044.0,552,8.0,73.3,2199.0,,72.89999999999999,72.94,72.9857142857143,14178.0,15650.4,14672.57142857143,3137.0,2980.0,2911.5,2950.6666666666665,2963.2,2987.285714285714,495.0,465.0,462.0,105.66666666666667,119.8,123.28571428571429,21.417092768444117,1729.25,2680.3375,,9.2,0.13333333333333333,2025-10-30T12:58:29.948171,1.0.0
,25/08/2025,15079.0,325,143.0,73.6,3259.0,2798.0,73.1,73.02000000000001,73.04285714285713,12775.333333333334,15173.0,15037.0,3108.5,2975.75,2914.6666666666665,2966.6666666666665,3037.0,3031.0,456.3333333333333,440.8,448.7142857142857,96.33333333333333,126.4,124.42857142857143,21.504747991234474,1732.25,2684.9875,-461.0,5.416666666666667,2.3833333333333333,2025-10-30T12:58:29.948171,1.0.0
,26/08/2025,11656.0,451,147.0,73.1,3312.0,2865.0,73.33333333333333,73.08,73.05714285714285,10593.0,13853.8,14998.142857142857,2831.5,2984.25,2930.5,2923.3333333333335,3084.6,3055.285714285714,442.6666666666667,452.2,443.0,99.33333333333333,121.4,127.0,21.358655953250544,1727.25,2677.2375,-447.0,7.516666666666667,2.45,2025-10-30T12:58:29.948171,1.0.0
,27/08/2025,10309.0,450,135.0,73.3,2996.0,2879.0,73.33333333333333,73.14,73.07142857142857,12348.0,12058.2,13975.714285714286,2847.3333333333335,2990.25,2941.1666666666665,3189.0,3041.6,3070.4285714285716,408.6666666666667,454.0,443.57142857142856,141.66666666666666,114.2,130.57142857142858,21.417092768444117,1729.25,2680.3375,-117.0,7.5,2.25,2025-10-30T12:58:29.948171,1.0.0
,28/08/2025,17486.0,464,177.0,73.0,3176.0,2827.0,73.13333333333333,73.26,73.1,13150.333333333334,11914.8,13866.285714285714,2857.0,2842.25,2940.5,3161.3333333333335,2988.4,3085.0,455.0,448.4,453.57142857142856,153.0,122.0,131.28571428571428,21.32943754565376,1726.25,2675.6875,-349.0,7.733333333333333,2.95,2025-10-30T12:58:29.948171,1.0.0
,29/08/2025,13642.0,454,146.0,72.7,3156.0,3062.0,73.0,73.14,73.05714285714285,13812.333333333334,13634.4,13059.857142857143,2922.6666666666665,2886.2,2975.0,3109.3333333333335,3179.8,3077.1428571428573,456.0,428.8,455.42857142857144,152.66666666666666,149.6,127.71428571428571,21.241782322863404,1723.25,2671.0375,-94.0,7.566666666666666,2.433333333333333,2025-10-30T12:58:29.948171,1.0.0
,30/08/2025,17281.0,433,142.0,73.2,3361.0,2739.0,72.96666666666665,73.06,73.17142857142858,16136.333333333334,14074.8,12928.142857142857,2876.0,2874.4,2861.6666666666665,3231.0,3200.2,3065.5714285714284,450.3333333333333,450.4,447.0,155.0,149.4,128.28571428571428,21.387874360847334,1728.25,2678.7875,-622.0,7.216666666666667,2.3666666666666667,2025-10-30T12:58:29.948171,1.0.0
,31/08/2025,19401.0,422,143.0,73.5,2996.0,2405.0,73.13333333333333,73.14,73.2,16774.666666666668,15623.8,14979.142857142857,2735.3333333333335,2782.4,2796.4285714285716,3171.0,3137.0,3179.4285714285716,436.3333333333333,444.6,428.42857142857144,143.66666666666666,148.6,147.57142857142858,21.47552958363769,1731.25,2683.4375,-591.0,7.033333333333333,2.3833333333333333,2025-10-30T12:58:29.948171,1.0.0
,01/09/2025,6756.0,440,123.0,73.2,3068.0,2918.0,73.3,73.12,73.14285714285714,14479.333333333334,14913.2,13790.142857142857,2687.3333333333335,2790.2,2813.5714285714284,3141.6666666666665,3151.4,3152.1428571428573,431.6666666666667,442.6,444.85714285714283,136.0,146.2,144.71428571428572,21.387874360847334,1728.25,2678.7875,-150.0,7.333333333333333,2.05,2025-10-30T12:58:29.948171,1.0.0
,02/09/2025,16002.0,474,164.0,72.7,3174.0,2934.0,73.13333333333333,73.06,73.08571428571429,14053.0,14616.4,14411.0,2752.3333333333335,2811.6,2823.4285714285716,3079.3333333333335,3151.0,3132.4285714285716,445.3333333333333,444.6,448.14285714285717,143.33333333333334,143.6,147.14285714285714,21.241782322863404,1723.25,2671.0375,-240.0,7.9,2.7333333333333334,2025-10-30T12:58:29.948171,1.0.0
,03/09/2025,15828.0,421,239.0,72.5,4471.0,4100.0,72.8,73.02000000000001,72.97142857142858,12862.0,15053.6,15199.42857142857,3317.3333333333335,3019.2,2997.8571428571427,3571.0,3414.0,3343.1428571428573,445.0,438.0,444.0,175.33333333333334,162.2,162.0,21.18334550766983,1721.25,2667.9375,-371.0,7.016666666666667,3.9833333333333334,2025-10-30T12:58:29.948171,1.0.0
,04/09/2025,10036.0,460,69.0,72.5,2634.0,3297.0,72.56666666666666,72.88000000000001,72.9,13955.333333333334,13604.6,14135.142857142857,3443.6666666666665,3130.8,3065.0,3426.3333333333335,3268.6,3265.714285714286,451.6666666666667,443.4,443.42857142857144,157.33333333333334,147.6,146.57142857142858,21.18334550766983,1721.25,2667.9375,663.0,7.666666666666667,1.15,2025-10-30T12:58:29.948171,1.0.0
